text,label
Stormy weather is causing some chaos on the roads.,3
Road closure on 2nd street for bridge maintenance.,2
"Just another day on the road, everything looks clear.",0
Stormy weather is causing some chaos on the roads.,3
Traffic is backed up for miles due to an accident.,1
Dazzling sun is causing a lot of glare and slow traffic.,3
Be alert! Slick roads after the first rain of the season.,3
"Icy roads reported, please be careful out there.",3
I love it when there's no traffic on my way to work.,0
Emergency services are on site for a collision on the highway.,1
"Heavy rain is making visibility very poor, drive slow!",3
Good morning! Roads are empty and the sun is out.,0
New roadwork started on Oak Street. Traffic is heavy.,2
Infrastructure repairs are causing a lot of congestion here.,2
The commute this morning was surprisingly smooth.,0
Construction work on the tunnel is slowing everyone down.,2
"Huge wreck on the bypass, use an alternative route.",1
Monsoon rains have caused a huge traffic jam.,3
The exit is closed for maintenance until tomorrow.,2
"Avoid Main Street, there's a huge crash near the park!",1
"Ambulances just passed by, looks like a bad accident on I-95.",1
"Icy roads reported, please be careful out there.",3
Road closure on 2nd street for bridge maintenance.,2
Good morning! Roads are empty and the sun is out.,0
The fog is so thick! Traffic is barely moving.,3
Traffic is crawling because they are repaving the road.,2
Stuck in traffic because of a crash ahead of me.,1
Infrastructure repairs are causing a lot of congestion here.,2
"Passed through the city center, no traffic jams at all.",0
Emergency services are on site for a collision on the highway.,1
High winds are affecting the traffic flow on the bridge.,3
High winds are affecting the traffic flow on the bridge.,3
Traffic is backed up for miles due to an accident.,1
Good morning! Roads are empty and the sun is out.,0
Traffic flow is perfectly normal right now.,0
"Heavy rain is making visibility very poor, drive slow!",3
"Passed through the city center, no traffic jams at all.",0
New roadwork started on Oak Street. Traffic is heavy.,2
Traffic flow is perfectly normal right now.,0
The exit is closed for maintenance until tomorrow.,2
Be alert! Slick roads after the first rain of the season.,3
Stuck in traffic because of a crash ahead of me.,1
Traffic is slow because the roads are flooded.,3
Cones everywhere! Roadwork is making the drive terrible.,2
Traffic is moving fine on the downtown expressway.,0
Snowy conditions are causing slippery roads and delays.,3
Traffic is backed up for miles due to an accident.,1
Cruising along the highway with zero issues.,0
"Stay away from 5th Ave, a three-car pileup just happened.",1
Dazzling sun is causing a lot of glare and slow traffic.,3
"Huge wreck on the bypass, use an alternative route.",1
Dazzling sun is causing a lot of glare and slow traffic.,3
"Passed through the city center, no traffic jams at all.",0
"Huge wreck on the bypass, use an alternative route.",1
Emergency services are on site for a collision on the highway.,1
No delays reported today. Driving is easy.,0
Major crash reported at the intersection. Traffic is stuck.,1
Car accident on the bridge is causing massive delays.,1
Traffic is backed up for miles due to an accident.,1
Construction work on the tunnel is slowing everyone down.,2
Dazzling sun is causing a lot of glare and slow traffic.,3
Traffic is slow because the roads are flooded.,3
Expect delays on the outer ring due to road repairs.,2
New roadwork started on Oak Street. Traffic is heavy.,2
New roadwork started on Oak Street. Traffic is heavy.,2
Accident alert! The north lane is completely blocked.,1
Construction work on the tunnel is slowing everyone down.,2
"Be careful, workers are near the road on the highway exit.",2
Traffic flow is perfectly normal right now.,0
Snowy conditions are causing slippery roads and delays.,3
Narrower lanes today because of the construction crew.,2
"Stay away from 5th Ave, a three-car pileup just happened.",1
Traffic is slow because the roads are flooded.,3
Good morning! Roads are empty and the sun is out.,0
Accident alert! The north lane is completely blocked.,1
Expect delays on the outer ring due to road repairs.,2
"Passed through the city center, no traffic jams at all.",0
"Stay away from 5th Ave, a three-car pileup just happened.",1
Accident alert! The north lane is completely blocked.,1
Expect delays on the outer ring due to road repairs.,2
"Just another day on the road, everything looks clear.",0
Snowy conditions are causing slippery roads and delays.,3
New roadwork started on Oak Street. Traffic is heavy.,2
The commute this morning was surprisingly smooth.,0
Car accident on the bridge is causing massive delays.,1
Road closure on 2nd street for bridge maintenance.,2
Cruising along the highway with zero issues.,0
"Be careful, workers are near the road on the highway exit.",2
Monsoon rains have caused a huge traffic jam.,3
Snowy conditions are causing slippery roads and delays.,3
Traffic is crawling because they are repaving the road.,2
"Icy roads reported, please be careful out there.",3
Narrower lanes today because of the construction crew.,2
Emergency services are on site for a collision on the highway.,1
The drive was fast today. Rare but nice!,0
The drive was fast today. Rare but nice!,0
Traffic flow is perfectly normal right now.,0
Be alert! Slick roads after the first rain of the season.,3
Narrower lanes today because of the construction crew.,2
Stuck in traffic because of a crash ahead of me.,1
The fog is so thick! Traffic is barely moving.,3
Cruising along the highway with zero issues.,0
I love it when there's no traffic on my way to work.,0
Dazzling sun is causing a lot of glare and slow traffic.,3
Traffic is moving fine on the downtown expressway.,0
Expect delays on the outer ring due to road repairs.,2
Car accident on the bridge is causing massive delays.,1
"Icy roads reported, please be careful out there.",3
The exit is closed for maintenance until tomorrow.,2
"Be careful, workers are near the road on the highway exit.",2
"Avoid Main Street, there's a huge crash near the park!",1
Infrastructure repairs are causing a lot of congestion here.,2
"Avoid Main Street, there's a huge crash near the park!",1
"Stay away from 5th Ave, a three-car pileup just happened.",1
"Passed through the city center, no traffic jams at all.",0
Traffic is crawling because they are repaving the road.,2
The commute this morning was surprisingly smooth.,0
High winds are affecting the traffic flow on the bridge.,3
Accident alert! The north lane is completely blocked.,1
Construction work on the tunnel is slowing everyone down.,2
No delays reported today. Driving is easy.,0
Infrastructure repairs are causing a lot of congestion here.,2
Major crash reported at the intersection. Traffic is stuck.,1
Traffic is crawling because they are repaving the road.,2
Cones everywhere! Roadwork is making the drive terrible.,2
Traffic is moving fine on the downtown expressway.,0
"Heavy rain is making visibility very poor, drive slow!",3
Cruising along the highway with zero issues.,0
"Ambulances just passed by, looks like a bad accident on I-95.",1
"Ambulances just passed by, looks like a bad accident on I-95.",1
Traffic is moving fine on the downtown expressway.,0
Car accident on the bridge is causing massive delays.,1
"Avoid Main Street, there's a huge crash near the park!",1
Road closure on 2nd street for bridge maintenance.,2
Road closure on 2nd street for bridge maintenance.,2
Narrower lanes today because of the construction crew.,2
Expect delays on the outer ring due to road repairs.,2
"Just another day on the road, everything looks clear.",0
Cruising along the highway with zero issues.,0
Infrastructure repairs are causing a lot of congestion here.,2
The drive was fast today. Rare but nice!,0
Stormy weather is causing some chaos on the roads.,3
The exit is closed for maintenance until tomorrow.,2
Be alert! Slick roads after the first rain of the season.,3
Cones everywhere! Roadwork is making the drive terrible.,2
"Stay away from 5th Ave, a three-car pileup just happened.",1
Be alert! Slick roads after the first rain of the season.,3
"Be careful, workers are near the road on the highway exit.",2
The drive was fast today. Rare but nice!,0
Traffic is slow because the roads are flooded.,3
Traffic is slow because the roads are flooded.,3
The fog is so thick! Traffic is barely moving.,3
The exit is closed for maintenance until tomorrow.,2
Narrower lanes today because of the construction crew.,2
Traffic flow is perfectly normal right now.,0
High winds are affecting the traffic flow on the bridge.,3
The commute this morning was surprisingly smooth.,0
I love it when there's no traffic on my way to work.,0
Car accident on the bridge is causing massive delays.,1
The fog is so thick! Traffic is barely moving.,3
"Ambulances just passed by, looks like a bad accident on I-95.",1
"Ambulances just passed by, looks like a bad accident on I-95.",1
Monsoon rains have caused a huge traffic jam.,3
The fog is so thick! Traffic is barely moving.,3
Stuck in traffic because of a crash ahead of me.,1
Monsoon rains have caused a huge traffic jam.,3
Major crash reported at the intersection. Traffic is stuck.,1
The commute this morning was surprisingly smooth.,0
"Huge wreck on the bypass, use an alternative route.",1
Emergency services are on site for a collision on the highway.,1
"Icy roads reported, please be careful out there.",3
Accident alert! The north lane is completely blocked.,1
Cones everywhere! Roadwork is making the drive terrible.,2
Cones everywhere! Roadwork is making the drive terrible.,2
Traffic is crawling because they are repaving the road.,2
"Heavy rain is making visibility very poor, drive slow!",3
Traffic is backed up for miles due to an accident.,1
I love it when there's no traffic on my way to work.,0
No delays reported today. Driving is easy.,0
High winds are affecting the traffic flow on the bridge.,3
Stormy weather is causing some chaos on the roads.,3
Traffic is moving fine on the downtown expressway.,0
No delays reported today. Driving is easy.,0
Major crash reported at the intersection. Traffic is stuck.,1
Snowy conditions are causing slippery roads and delays.,3
"Heavy rain is making visibility very poor, drive slow!",3
"Just another day on the road, everything looks clear.",0
Major crash reported at the intersection. Traffic is stuck.,1
"Avoid Main Street, there's a huge crash near the park!",1
Construction work on the tunnel is slowing everyone down.,2
No delays reported today. Driving is easy.,0
"Huge wreck on the bypass, use an alternative route.",1
I love it when there's no traffic on my way to work.,0
Stormy weather is causing some chaos on the roads.,3
Good morning! Roads are empty and the sun is out.,0
Monsoon rains have caused a huge traffic jam.,3
"Be careful, workers are near the road on the highway exit.",2
"Just another day on the road, everything looks clear.",0
The drive was fast today. Rare but nice!,0
Stuck in traffic because of a crash ahead of me.,1
